day,network,kind,metric,n,of,value
2026-09-15,aleo,static,state,,,ok
2026-09-15,aleo,static,age_hours,,,20.8
2026-09-15,aleo,static,timetable_ends_on,,,2027-07-04
2026-09-15,aleo,static,days_left,,,292
2026-09-15,aleo,trip_updates,samples,,,2
2026-09-15,aleo,trip_updates,ok,,,2
2026-09-15,aleo,trip_updates,header_age_seconds,,,9
2026-09-15,aleo,trip_updates,entities,,,21
2026-09-15,aleo,trip_updates,no_trip_id,,,0
2026-09-15,aleo,trip_updates,trip_join,20,20,
2026-09-15,aleo,trip_updates,stop_updates_timed,647,648,
2026-09-15,aleo,trip_updates,cancelled,0,20,
2026-09-15,aleo,vehicle_positions,samples,,,2
2026-09-15,aleo,vehicle_positions,ok,,,2
2026-09-15,aleo,vehicle_positions,header_age_seconds,,,9
2026-09-15,aleo,vehicle_positions,entities,,,21
2026-09-15,aleo,vehicle_positions,with_position,20,20,
2026-09-15,aleo,vehicle_positions,with_trip_id,20,20,
2026-09-15,aleo,vehicle_positions,with_route_id,20,20,
2026-09-15,aleo,vehicle_positions,trip_join,20,20,
2026-09-15,cars-38,static,state,,,ok
2026-09-15,cars-38,static,age_hours,,,86.8
2026-09-15,cars-38,static,timetable_ends_on,,,2027-08-31
2026-09-15,cars-38,static,days_left,,,350
2026-09-15,cars-38,trip_updates,samples,,,2
2026-09-15,cars-38,trip_updates,ok,,,2
2026-09-15,cars-38,trip_updates,header_age_seconds,,,50
2026-09-15,cars-38,trip_updates,entities,,,22
2026-09-15,cars-38,trip_updates,no_trip_id,,,0
2026-09-15,cars-38,trip_updates,trip_join,44,44,
2026-09-15,cars-38,trip_updates,stop_updates_timed,489,489,
2026-09-15,cars-38,trip_updates,cancelled,2,44,
2026-09-15,cars-38,alerts,samples,,,2
2026-09-15,cars-38,alerts,ok,,,2
2026-09-15,cars-38,alerts,header_age_seconds,,,33
2026-09-15,cars-38,alerts,entities,,,1098
2026-09-15,cars-38,alerts,informed_resolved,5964,5964,
2026-09-15,jybus,static,state,,,ok
2026-09-15,jybus,static,age_hours,,,159.6
2026-09-15,jybus,static,timetable_ends_on,,,2027-07-03
2026-09-15,jybus,static,days_left,,,291
2026-09-15,jybus,trip_updates,samples,,,2
2026-09-15,jybus,trip_updates,ok,,,2
2026-09-15,jybus,trip_updates,header_age_seconds,,,18
2026-09-15,jybus,trip_updates,entities,,,6
2026-09-15,jybus,trip_updates,no_trip_id,,,0
2026-09-15,jybus,trip_updates,trip_join,13,13,
2026-09-15,jybus,trip_updates,stop_updates_timed,99,99,
2026-09-15,jybus,trip_updates,cancelled,0,13,
2026-09-15,jybus,vehicle_positions,samples,,,2
2026-09-15,jybus,vehicle_positions,ok,,,2
2026-09-15,jybus,vehicle_positions,header_age_seconds,,,8
2026-09-15,jybus,vehicle_positions,entities,,,5
2026-09-15,jybus,vehicle_positions,with_position,10,10,
2026-09-15,jybus,vehicle_positions,with_trip_id,10,10,
2026-09-15,jybus,vehicle_positions,with_route_id,10,10,
2026-09-15,jybus,vehicle_positions,trip_join,10,10,
2026-09-15,lva,static,state,,,ok
2026-09-15,lva,static,age_hours,,,159.6
2026-09-15,lva,static,timetable_ends_on,,,2026-12-31
2026-09-15,lva,static,days_left,,,107
2026-09-15,lva,trip_updates,samples,,,2
2026-09-15,lva,trip_updates,ok,,,2
2026-09-15,lva,trip_updates,header_age_seconds,,,0
2026-09-15,lva,trip_updates,entities,,,24
2026-09-15,lva,trip_updates,no_trip_id,,,0
2026-09-15,lva,trip_updates,trip_join,27,27,
2026-09-15,lva,trip_updates,stop_updates_timed,357,357,
2026-09-15,lva,trip_updates,cancelled,0,27,
2026-09-15,lva,vehicle_positions,samples,,,2
2026-09-15,lva,vehicle_positions,ok,,,2
2026-09-15,lva,vehicle_positions,header_age_seconds,,,0
2026-09-15,lva,vehicle_positions,entities,,,24
